tilSand,0,544,320,0,32,32,0,1,1,4294967295
tilSand,32,544,320,0,32,32,0,1,1,4294967295
tilSand,64,544,320,0,32,32,0,1,1,4294967295
tilSand,96,544,320,0,32,32,0,1,1,4294967295
tilSand,128,544,320,0,32,32,0,1,1,4294967295
tilSand,160,544,320,0,32,32,0,1,1,4294967295
tilSand,192,544,320,0,32,32,0,1,1,4294967295
tilSand,224,544,320,0,32,32,0,1,1,4294967295
tilSand,256,544,320,0,32,32,0,1,1,4294967295
tilSand,288,544,320,0,32,32,0,1,1,4294967295
tilSand,320,544,320,0,32,32,0,1,1,4294967295
tilSand,352,544,320,0,32,32,0,1,1,4294967295
tilSand,352,448,32,96,32,32,0,1,1,4294967295
tilSand,256,352,96,96,32,32,0,1,1,4294967295
tilSand,384,448,64,96,32,32,0,1,1,4294967295
tilSand,224,352,64,96,32,32,0,1,1,4294967295
tilSand,192,352,192,96,32,32,0,1,1,4294967295
tilSand,160,352,288,96,32,32,0,1,1,4294967295
tilSand,192,320,352,64,32,32,0,1,1,4294967295
tilSand,192,288,352,64,32,32,0,1,1,4294967295
tilSand,192,256,352,64,32,32,0,1,1,4294967295
tilSand,192,224,352,64,32,32,0,1,1,4294967295
tilSand,192,192,352,64,32,32,0,1,1,4294967295
tilSand,192,160,352,64,32,32,0,1,1,4294967295
tilSand,192,64,192,64,32,32,0,1,1,4294967295
tilSand,224,64,288,96,32,32,0,1,1,4294967295
tilSand,256,64,288,96,32,32,0,1,1,4294967295
tilSand,288,64,288,96,32,32,0,1,1,4294967295
tilSand,320,64,288,96,32,32,0,1,1,4294967295
tilSand,352,64,288,96,32,32,0,1,1,4294967295
tilSand,384,64,288,96,32,32,0,1,1,4294967295
tilSand,416,64,288,96,32,32,0,1,1,4294967295
tilSand,352,256,32,96,32,32,0,1,1,4294967295
tilSand,384,256,64,96,32,32,0,1,1,4294967295
tilSand,416,416,256,32,32,32,0,1,1,4294967295
tilSand,416,384,256,32,32,32,0,1,1,4294967295
tilSand,416,352,256,32,32,32,0,1,1,4294967295
tilSand,416,320,256,32,32,32,0,1,1,4294967295
tilSand,416,288,256,32,32,32,0,1,1,4294967295
tilSand,384,544,320,0,32,32,0,1,1,4294967295
tilSand,416,256,160,0,32,32,0,1,1,4294967295
tilSand,448,256,320,0,32,32,0,1,1,4294967295
tilSand,480,256,320,0,32,32,0,1,1,4294967295
tilSand,512,256,320,0,32,32,0,1,1,4294967295
tilSand,544,256,320,0,32,32,0,1,1,4294967295
tilSand,576,256,320,0,32,32,0,1,1,4294967295
tilSand,608,256,320,0,32,32,0,1,1,4294967295
tilSand,640,256,320,0,32,32,0,1,1,4294967295
